OBJECTID;AV_FE_APER;AV_PROF;AV_TIPO_EL;AV_ELE_TUB;TR_DIA_INT;TR_DIA_EXT;TR_MATERIA;TR_LONG;TR_FE_INST;TR_FE_UREV;TR_IMPULSI;TR_RUG;TR_TIPO_RE;AV_ESPROVO;FECHA
5493;20180405;0,50000000000;DIS;1;20,40000000000;25,00000000000;PAD;119,78842095400;19870101;0;0;0,00600000000;P;N;05/04/2018
5494;20180405;0,50000000000;DIS;1;300,00000000000;326,00000000000;FUD;705,05163640600;20060607;0;1;0,10100000000;A;N;05/04/2018
1031;20110307;0,50000000000;DIS;1;34,00000000000;40,00000000000;PVB;571,02923583500;19870101;0;0;0,00900000000;P;N;07/03/2011
1032;20110308;0,16000000000;DIS;1;300,00000000000;326,00000000000;FUD;705,05163640600;20060607;0;1;0,10100000000;A;N;08/03/2011
1033;20110308;1,00000000000;DIS;1;76,60000000000;90,00000000000;PVB;86,32718105680;19870101;0;0;0,00900000000;P;N;08/03/2011
1035;20110309;0,50000000000;DIS;1;63,80000000000;75,00000000000;PVB;89,59693727880;19870101;0;0;0,00900000000;P;N;09/03/2011
1036;20110310;1,00000000000;DIS;1;80,00000000000;98,00000000000;FBA;363,13733664100;19700509;0;0;0,09900000000;P;N;10/03/2011
5495;20180405;1,25000000000;DIS;1;50,00000000000;66,00000000000;FBA;163,24916816200;19700509;0;0;0,09900000000;P;N;05/04/2018
5496;20180406;1,00000000000;ACO;0;32,60000000000;40,00000000000;PAD;37,47727110870;19980503;0;0;0,00600000000;P;N;06/04/2018
1040;20110314;0,50000000000;DIS;1;40,80000000000;50,00000000000;PAD;477,06296571300;19870101;0;0;0,00600000000;P;N;14/03/2011
1041;20110315;0,60000000000;DIS;1;16,00000000000;20,00000000000;PAD;18,74265961420;19870101;0;0;0,00600000000;P;N;15/03/2011
1043;20110316;0,70000000000;DIS;1;100,00000000000;116,00000000000;FBA;198,66961200400;19700509;0;0;0,09900000000;P;N;16/03/2011
1045;20110318;0,50000000000;DIS;1;26,00000000000;32,00000000000;PAD;86,42605161250;20071002;0;0;0,00600000000;P;N;18/03/2011
1046;20110318;0,50000000000;DIS;1;26,00000000000;32,00000000000;PAD;86,42605161250;20071002;0;0;0,00600000000;P;N;18/03/2011
1048;20110322;0,50000000000;DIS;1;42,60000000000;50,00000000000;PVB;174,71590510300;19870101;0;0;0,00900000000;P;N;22/03/2011
5497;20180406;0,50000000000;DIS;1;125,00000000000;143,00000000000;FBA;42,76065900490;19700509;0;0;0,09900000000;P;N;06/04/2018
5498;20180406;0,50000000000;DIS;1;32,60000000000;40,00000000000;PAD;21,45672742560;19870101;0;1;0,00600000000;P;N;06/04/2018
1051;20110324;1,30000000000;DIS;1;42,60000000000;50,00000000000;PVB;89,99555789100;19870101;0;0;0,00900000000;P;N;24/03/2011
1052;20110324;0,40000000000;DIS;1;42,60000000000;50,00000000000;PVB;120,00842475000;19870101;0;0;0,00900000000;S;N;24/03/2011
1053;20110324;1,00000000000;DIS;1;80,00000000000;98,00000000000;FBA;99,73790652220;19700509;0;0;0,09900000000;P;N;24/03/2011
1054;20110325;0,40000000000;DIS;1;42,60000000000;50,00000000000;PVB;43,82364492230;19870101;0;0;0,00900000000;P;N;25/03/2011
1055;20110328;1,10000000000;DIS;1;34,00000000000;40,00000000000;PVB;34,50319413760;19870101;0;0;0,00900000000;P;N;28/03/2011
1056;20110328;0,60000000000;DIS;1;51,40000000000;63,00000000000;PAD;47,60243735210;19870101;0;0;0,00600000000;P;N;28/03/2011
1057;20110329;0,40000000000;DIS;1;26,00000000000;32,00000000000;PAD;108,53388215500;19870101;0;1;0,00600000000;P;N;29/03/2011
1058;20110329;1,00000000000;DIS;1;51,40000000000;63,00000000000;PAD;51,77227144940;20171215;20180111;0;0,00600000000;S;N;29/03/2011
1059;20110330;1,00000000000;DIS;1;76,60000000000;90,00000000000;PVB;243,28961900000;19870101;0;0;0,00900000000;P;N;30/03/2011
1060;20110330;0,50000000000;DIS;1;42,60000000000;50,00000000000;PVB;120,00842475000;19870101;0;0;0,00900000000;S;N;30/03/2011
1061;20110331;0,80000000000;DIS;1;53,60000000000;63,00000000000;PVB;65,30228671030;19870101;0;0;0,00900000000;P;N;31/03/2011
1062;20110201;0,40000000000;DIS;1;18,00000000000;20,00000000000;PB;34,26699766110;19700509;0;0;0,01100000000;P;N;01/02/2011
1064;20110201;0,14000000000;DIS;1;51,40000000000;63,00000000000;PAD;103,55390424600;20060503;0;0;0,00600000000;P;N;01/02/2011
1065;20110201;1,00000000000;DIS;1;93,60000000000;110,00000000000;PVB;68,42134100570;19870101;0;0;0,00900000000;P;N;01/02/2011
1067;20110202;1,10000000000;DIS;1;53,60000000000;63,00000000000;PVB;48,50775510070;19870101;0;0;0,00900000000;P;N;02/02/2011
1068;20110203;0,70000000000;DIS;1;51,40000000000;63,00000000000;PAD;79,63705074440;20110113;0;0;0,00600000000;P;N;03/02/2011
1071;20110204;0,50000000000;DIS;1;40,80000000000;50,00000000000;PAD;19,24452893560;19870101;0;0;0,00600000000;P;N;04/02/2011
1072;20110204;0,40000000000;DIS;1;20,40000000000;25,00000000000;PAD;38,37329213040;19870101;0;0;0,00600000000;P;N;04/02/2011
1073;20110205;0,50000000000;DIS;1;20,40000000000;25,00000000000;PAD;78,72331153020;19870101;0;0;0,00600000000;P;N;05/02/2011
1074;20110205;0,50000000000;DIS;1;20,40000000000;25,00000000000;PAD;78,72331153020;19870101;0;0;0,00600000000;P;N;05/02/2011
1075;20110207;0,70000000000;DIS;1;51,40000000000;63,00000000000;PAD;263,25174718400;20121211;0;0;0,00600000000;P;N;07/02/2011
1076;20110207;1,00000000000;DIS;1;26,00000000000;32,00000000000;PAD;224,20749024700;19870101;0;0;0,00600000000;P;N;07/02/2011
1077;20110207;0,40000000000;DIS;1;40,80000000000;50,00000000000;PAD;19,24452893560;19870101;0;0;0,00600000000;P;N;07/02/2011
1079;20110208;0,80000000000;DIS;1;63,80000000000;75,00000000000;PVB;533,47918385800;19870101;0;0;0,00900000000;P;N;08/02/2011
5501;20180406;0,40000000000;ACO;0;90,00000000000;110,00000000000;PAD;103,24543759100;20020305;0;0;0,00600000000;P;N;06/04/2018
5502;20180406;0,60000000000;DIS;1;51,40000000000;63,00000000000;PAD;481,45132340300;19870101;0;1;0,00600000000;P;N;06/04/2018
5503;20180406;0,60000000000;ACO;0;60,00000000000;76,00000000000;FBA;692,80802588900;19700509;0;0;0,09900000000;P;N;06/04/2018
1086;20110210;0,80000000000;DIS;1;50,00000000000;66,00000000000;FBA;67,03827914530;19700509;0;0;0,09900000000;P;N;10/02/2011
1087;20110211;0,60000000000;DIS;1;27,20000000000;32,00000000000;PVB;683,21164128300;19870101;0;0;0,00900000000;P;N;11/02/2011
1090;20110212;0,60000000000;DIS;1;34,00000000000;40,00000000000;PVB;261,63477902000;19870101;0;0;0,00900000000;P;N;12/02/2011
1092;20110214;0,50000000000;DIS;1;26,00000000000;32,00000000000;PAD;276,50247539000;19870101;0;0;0,00600000000;P;N;14/02/2011
1093;20110215;0,50000000000;DIS;1;42,60000000000;50,00000000000;PVB;73,25558314530;19870101;0;0;0,00900000000;P;N;15/02/2011
